Squad_Code,Squad_Name,Text
ceeb5465,LEntente-SSG,LEntente-SSG-Match-Logs-All-Competitions
67256fb4,Le-Puy-Foot-43,Le-Puy-Foot-43-Match-Logs-All-Competitions
3196586b,Les-Herbiers-VF,Les-Herbiers-VF-Match-Logs-All-Competitions
a89bd640,Les-Jeunes-dArgentre,Les-Jeunes-dArgentre-Match-Logs-All-Competitions
6061885,LEsperance-de-Saint-Dizier,LEsperance-de-Saint-Dizier-Match-Logs-All-Competitions
ce172095,LEtoile-de-Morne-a-lEau,LEtoile-de-Morne-a-lEau-Match-Logs-All-Competitions
8ac4a7d3,Le-Touquet-Athletic-Club,Le-Touquet-Athletic-Club-Match-Logs-All-Competitions
32203553,Leverstock-Green-FC,Leverstock-Green-FC-Match-Logs-All-Competitions
0178d199,Lewes,Lewes-Match-Logs-All-Competitions
4801f5b0,Leyton-Athletic-FC,Leyton-Athletic-FC-Match-Logs-All-Competitions
590e9120,Leyton-Orient,Leyton-Orient-Match-Logs-All-Competitions
afa9dd72,Lichfield-City-FC,Lichfield-City-FC-Match-Logs-All-Competitions
9ea31445,Lierse,Lierse-Match-Logs-All-Competitions
97c66f8c,Lierse-Kempenzonen,Lierse-Kempenzonen-Match-Logs-All-Competitions
b6a43cb1,Lille-OS-Fives,Lille-OS-Fives-Match-Logs-All-Competitions
60277282,Limens-JSA,Limens-JSA-Match-Logs-All-Competitions
69c8e5a9,Limoges-FC,Limoges-FC-Match-Logs-All-Competitions
d76b7bed,Lincoln-City,Lincoln-City-Match-Logs-All-Competitions
94378dd9,Lincoln-United-FC,Lincoln-United-FC-Match-Logs-All-Competitions
905151b8,Lingfield-FC,Lingfield-FC-Match-Logs-All-Competitions
108d8bf3,Liskeard-Athletic-FC,Liskeard-Athletic-FC-Match-Logs-All-Competitions
4197ef46,Litherland-REMYCA-FC,Litherland-REMYCA-FC-Match-Logs-All-Competitions
6e09f654,Little-Common-FC,Little-Common-FC-Match-Logs-All-Competitions
d73312d0,Littlehampton-Town-FC,Littlehampton-Town-FC-Match-Logs-All-Competitions
c1bd7719,Little-Oakley-FC,Little-Oakley-FC-Match-Logs-All-Competitions
f320e225,Liversedge-FC,Liversedge-FC-Match-Logs-All-Competitions
bada91db,Lokeren,Lokeren-Match-Logs-All-Competitions
473affe3,Lokomotive-Leipzig,Lokomotive-Leipzig-Match-Logs-All-Competitions
6f98eba9,Lommel-SK,Lommel-SK-Match-Logs-All-Competitions
ccf02bc0,London-Colney-FC,London-Colney-FC-Match-Logs-All-Competitions
0cc6aadb,London-Lions-FC,London-Lions-FC-Match-Logs-All-Competitions
5096c621,London-Tigers-FC,London-Tigers-FC-Match-Logs-All-Competitions
2f4f44a5,Long-Buckby-AFC,Long-Buckby-AFC-Match-Logs-All-Competitions
31b401d3,Long-Crendon,Long-Crendon-Match-Logs-All-Competitions
