Squad_Code,Year,Name,Text
8fae77ea,2022-2023,Jordi-Masip,Jordi-Masip-Match-Logs
79b0d6a0,2022-2023,Rui-Patricio,Rui-Patricio-Match-Logs
8f62b6ee,2022-2023,Hugo-Lloris,Hugo-Lloris-Match-Logs
54f6afe3,2022-2023,Petar-Zovko,Petar-Zovko-Match-Logs
967f34d3,2022-2023,Ruben-Blanco,Ruben-Blanco-Match-Logs
2fa2a875,2022-2023,Benjamin-Lecomte,Benjamin-Lecomte-Match-Logs
9b688ae1,2022-2023,Michael-Zetterer,Michael-Zetterer-Match-Logs
1b729a98,2022-2023,Ghjuvanni-Quilichini,Ghjuvanni-Quilichini-Match-Logs
db87a2c4,2022-2023,Marcin-Bulka,Marcin-Bulka-Match-Logs
f127d782,2022-2023,Alvaro-Fernandez,Alvaro-Fernandez-Match-Logs
