Squad_Code,Year,Name,Text
f0f7f62f,2019-2020,Pierluigi-Gollini,Pierluigi-Gollini-Match-Logs
e5a76dfe,2019-2020,Dean-Henderson,Dean-Henderson-Match-Logs
ab13a5aa,2019-2020,Vicente-Guaita,Vicente-Guaita-Match-Logs
04ac8285,2019-2020,Jasper-Cillessen,Jasper-Cillessen-Match-Logs
7956236f,2019-2020,Emiliano-Martinez,Emiliano-Martinez-Match-Logs
cac76a72,2019-2020,Stephane-Ruffier,Stephane-Ruffier-Match-Logs
5dcf3e90,2019-2020,Unai-Simon,Unai-Simon-Match-Logs
42130443,2019-2020,Zack-Steffen,Zack-Steffen-Match-Logs
0f47717b,2019-2020,Demba-Thiam,Demba-Thiam-Match-Logs
9109185e,2019-2020,Iago-Herrerin,Iago-Herrerin-Match-Logs
e1b0a70d,2019-2020,Pietro-Terracciano,Pietro-Terracciano-Match-Logs
fe558029,2019-2020,Mark-Travers,Mark-Travers-Match-Logs
2f965a72,2019-2020,Alphonse-Areola,Alphonse-Areola-Match-Logs
07666c20,2019-2020,David-Martin,David-Martin-Match-Logs
132bb875,2019-2020,Mauro-Goicoechea,Mauro-Goicoechea-Match-Logs
9d12e142,2019-2020,Roman-Burki,Roman-Burki-Match-Logs
ad3389d5,2019-2020,Lukas-Hradecky,Lukas-Hradecky-Match-Logs
62ba5881,2019-2020,Stefanos-Kapino,Stefanos-Kapino-Match-Logs
dc2e4736,2019-2020,Florian-Kastenmeier,Florian-Kastenmeier-Match-Logs
a179d516,2019-2020,Willy-Caballero,Willy-Caballero-Match-Logs
4806ec67,2019-2020,Jordan-Pickford,Jordan-Pickford-Match-Logs
74733221,2019-2020,Romain-Salin,Romain-Salin-Match-Logs
bb25c778,2019-2020,Thomas-Kraft,Thomas-Kraft-Match-Logs
db87a2c4,2019-2020,Marcin-Bulka,Marcin-Bulka-Match-Logs
ea83bfa6,2019-2020,Rui-Silva,Rui-Silva-Match-Logs
2628fd2b,2019-2020,Bernd-Leno,Bernd-Leno-Match-Logs
51c83a90,2019-2020,Donovan-Leon,Donovan-Leon-Match-Logs
28dabd43,2019-2020,Paul-Bernardoni,Paul-Bernardoni-Match-Logs
8f8c6934,2019-2020,David-Soria,David-Soria-Match-Logs
bf9d9070,2019-2020,Leopold-Zingerle,Leopold-Zingerle-Match-Logs
0dfce079,2019-2020,Boris-Radunovic,Boris-Radunovic-Match-Logs
c41f7379,2019-2020,Philipp-Pentke,Philipp-Pentke-Match-Logs
625c144a,2019-2020,Geronimo-Rulli,Geronimo-Rulli-Match-Logs
a8a3d139,2019-2020,Jed-Steer,Jed-Steer-Match-Logs
51a19d04,2019-2020,Michael-McGovern,Michael-McGovern-Match-Logs
63d17038,2019-2020,Paulo-Gazzaniga,Paulo-Gazzaniga-Match-Logs
ae7d0ecd,2019-2020,Alexandre-Oukidja,Alexandre-Oukidja-Match-Logs
4a6914ff,2019-2020,Karlo-Letica,Karlo-Letica-Match-Logs
74419746,2019-2020,Samir-Handanovic,Samir-Handanovic-Match-Logs
9328b835,2019-2020,Lukasz-Fabianski,Lukasz-Fabianski-Match-Logs
28a15394,2019-2020,Antonio-Rosati,Antonio-Rosati-Match-Logs
f23f9d20,2019-2020,Tim-Krul,Tim-Krul-Match-Logs
db401046,2019-2020,Koen-Casteels,Koen-Casteels-Match-Logs
c89e8aae,2019-2020,Pavao-Pervan,Pavao-Pervan-Match-Logs
bf168004,2019-2020,Stefano-Turati,Stefano-Turati-Match-Logs
61bb7498,2019-2020,Yoel,Yoel-Match-Logs
10dc46f0,2019-2020,Salvatore-Sirigu,Salvatore-Sirigu-Match-Logs
18736214,2019-2020,Angelo-da-Costa-Junior,Angelo-da-Costa-Junior-Match-Logs
10072610,2019-2020,Claudio-Bravo,Claudio-Bravo-Match-Logs
bdedffac,2019-2020,Orjan-Nyland,Orjan-Nyland-Match-Logs
d4890c25,2019-2020,Federico-Brancolini,Federico-Brancolini-Match-Logs
f058ed1f,2019-2020,Gianluca-Pegolo,Gianluca-Pegolo-Match-Logs
65d62814,2019-2020,Antonio-Adan,Antonio-Adan-Match-Logs
ac295d9e,2019-2020,Marko-Dmitrovic,Marko-Dmitrovic-Match-Logs
8608f269,2019-2020,Matis-Carvalho,Matis-Carvalho-Match-Logs
0a1cb833,2019-2020,Jiri-Pavlenka,Jiri-Pavlenka-Match-Logs
9413b19f,2019-2020,Alex-Meret,Alex-Meret-Match-Logs
27d2618c,2019-2020,Rune-Jarstein,Rune-Jarstein-Match-Logs
ba3ca78f,2019-2020,Roberto,Roberto-Match-Logs
